GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,PermissionResponse,80,0,4,0,28,0,16,0,14,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,AssignPermissionsRequest,16,0,0,0,7,0,4,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,LoginResponse,56,0,0,0,15,0,4,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.entity,AccessLogStatus,0,21,0,0,0,4,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.backup.controller,BackupController,64,0,2,0,16,0,5,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminRecoveryToken,25,0,0,0,7,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminRole,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminPermission,24,0,2,0,5,0,2,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminStatus,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.entity,AdminAuditLog,27,0,0,0,9,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.service,ConnectionService,621,0,56,0,141,0,45,0,17,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.service,DataConnectionService,421,0,44,0,114,0,34,0,12,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.report.controller,ReportController,70,0,4,0,16,0,4,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.controller,GroupController,55,0,0,0,15,0,6,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.interceptor,AccessLogInterceptor,178,0,32,0,49,0,19,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.orgunit.dto,OrgUnitResponse,33,0,0,0,12,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,TotpSetupController.SessionExpiredException,4,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,VerificationController,315,0,12,0,71,0,15,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,TotpSetupController,404,0,36,0,88,0,27,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,TotpSetupController.TotpVerifyLockedException,4,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,TotpSetupController.TotpCodeInvalidException,4,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,PermissionController,112,0,2,0,25,0,9,0,8,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,RoleController,110,0,0,0,26,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,RegisterConfigController,80,0,0,0,23,0,3,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,RegistrationController,57,0,4,0,14,0,6,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,UserController,99,0,0,0,21,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,AuthController,147,0,8,0,34,0,9,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.controller,PermissionController.CreatePermissionRequest,38,0,0,0,11,0,11,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.layer.entity,MapLayer.LayerType,33,0,0,0,6,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.layer.entity,MapLayer.Status,15,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.service,HistoryValidator,37,0,4,0,11,0,4,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.service,PasswordPolicyService,194,0,26,0,42,0,21,0,8,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.service,ExpirationChecker,48,0,12,0,16,0,9,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.service,ComplexityValidator,115,0,24,0,25,0,16,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.service,PasswordHashService,19,0,0,0,4,0,3,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.line.entity,LineObject.Status,0,45,0,0,0,8,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.line.entity,LineObject.ObjectType,27,0,0,0,5,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.line.entity,LineHistory.ActionType,45,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.line.entity,LineObject.ApprovalStatus,0,21,0,0,0,4,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.service,IntegrationSyncService,434,0,32,0,102,0,22,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.service,DataSeeder,471,0,6,0,171,0,7,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.service,PortCargoIntegrationService,1355,0,113,0,290,0,100,0,22,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,RepairFacilityDto,9,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,StormShelterDto,23,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,AnchorageDto,23,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,BuoyMarkerDto,9,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,GeoSpatialDto,16,0,0,0,6,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,BeaconDto,9,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,GeoPointDto,30,0,0,0,8,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,PierDto,9,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,TransportRouteDto,23,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,DtoMapper,180,0,20,0,40,0,30,0,20,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,BuoyBerthDto,9,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,BridgeDto,23,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.dto,VtsSystemDto,9,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,AuthService.AuthError,14,0,0,0,5,0,5,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,PasswordPolicyValidator,88,0,16,0,22,0,13,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,TotpAuthService,545,0,36,0,109,0,25,0,7,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,VerificationTokenService,256,0,20,0,62,0,21,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,RoleService,224,0,16,0,47,0,20,0,12,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,AuthService.Authenticated,20,0,0,0,2,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,NotificationService,88,0,6,0,19,0,11,0,8,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,UserService,380,0,36,0,77,0,34,0,16,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,AuthService.TotpSetupRequired,15,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,AccountRegistrationAuditService,134,0,4,0,29,0,7,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,LoginAuditLogService,117,0,16,0,25,0,13,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,PermissionRoleService,898,0,150,0,185,0,106,0,31,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,RateLimiterService,462,0,42,0,101,0,38,0,17,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,RegistrationService,380,0,38,0,88,0,29,0,10,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.service,AuthService,155,0,20,0,29,0,15,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.trade.controller,TradeFlowController,18,0,0,0,4,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.parser,S57Parser.ParsedCellData,8,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.parser,S63Decryptor,172,0,20,0,37,0,13,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.parser,S57Parser,235,0,24,0,57,0,19,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.entity,LockoutPolicy,3,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.backup.service,BackupService,590,0,32,0,108,0,29,0,13,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.search.service,SearchService,971,0,76,0,230,0,54,0,14,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.service,TokenClaimsBuilder,63,0,0,0,16,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.service,TokenService,45,0,0,0,11,0,8,0,8,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.service,JwtSessionService.RefreshTokenPair,9,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.service,TokenValidationService,106,0,18,0,30,0,14,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.service,JwtSessionService,560,0,38,0,131,0,35,0,16,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.controller,AdminAccountController,49,0,0,0,9,0,6,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.controller,AdminAuditController,102,0,6,0,21,0,9,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.controller,JwtSessionController,398,0,36,0,90,0,29,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.controller,DataConnectionController,241,0,18,0,45,0,22,0,13,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.service,S52StyleService,383,0,69,0,78,0,40,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.service,ChartIntegrationService,1161,0,28,0,166,0,27,0,13,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.service,CoordinateCalibrationService.CoordinateResult,3,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.service,S52StyleService.S52Style,3,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.service,CoordinateCalibrationService,1099,0,44,0,165,0,27,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.line.service,LineObjectService,537,0,44,0,126,0,41,0,19,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.orgunit.entity,UnitHistory,24,0,0,0,8,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.orgunit.entity,OrgUnitStatus,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.orgunit.entity,OrgUnitType,27,0,0,0,5,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.orgunit.entity,OrganizationChart,28,0,2,0,8,0,3,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.point.entity,PointObject.Status,0,45,0,0,0,8,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.point.entity,PointHistory.ActionType,45,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.point.entity,PointObject.ApprovalStatus,0,21,0,0,0,4,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.point.entity,PointObject.ObjectType,0,33,0,0,0,6,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.point.entity,PointAttachment.FileType,33,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.report.service,ReportService,477,6418,140,193,61,1082,103,180,2,82
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.siem.controller,SiemController,191,0,18,0,56,0,16,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.layer.controller,MapLayerController,212,0,0,0,42,0,26,0,26,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.common.dto,ApiResponse,59,0,0,0,14,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.entity,IntegrationSyncJob.SyncStatus,27,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.filter,CookieRefreshTokenFilter,89,0,16,0,22,0,10,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.common.exception,UnauthorizedIntegrationException,4,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.common.exception,GlobalExceptionHandler,129,0,2,0,36,0,12,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.search.entity,SearchQuery.QueryType,33,0,0,0,6,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.repository,LoginAttemptRepository,11,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.backup.dto,BackupResponse,33,0,0,0,9,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.config,PasswordPolicyProperties,116,0,0,0,31,0,21,0,21,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.controller,LockoutPolicyAdminController,54,0,0,0,14,0,3,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.entity,JwtSessionEntity,15,0,0,0,6,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.entity,JwtSessionEntity.SessionStatus,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.config,CookieConfig,48,0,0,0,19,0,3,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.search.controller,SearchController,34,0,0,0,8,0,3,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.service,LockoutService,304,0,22,0,76,0,23,0,12,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.service,LockoutPolicyService,114,0,8,0,28,0,12,0,8,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.repository,PasswordHistoryRepository,11,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.orgunit.service,OrganizationService,592,0,56,0,105,0,50,0,22,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.orgunit.service,OrgUnitService,335,0,40,0,77,0,34,0,14,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.controller,AuthPasswordController,330,0,20,0,76,0,15,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.report.entity,PortOperation.OperationType,0,15,0,0,0,3,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.report.entity,CargoTransaction.TransactionType,0,15,0,0,0,3,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.report.entity,ReportType,6,475,1,3,1,64,1,6,0,5
